circle,0.6,True


1,-5.60000,21.00000
2,-4.20000,21.00000
3,-2.80000,21.00000
4,-1.40000,21.00000
5,0.00000,21.00000
6,1.40000,21.00000
7,2.80000,21.00000
8,4.20000,21.00000
9,5.60000,21.00000
10,-9.80000,19.60000
11,-8.40000,19.60000
12,-7.00000,19.60000
13,-5.60000,19.60000
14,-4.20000,19.60000
15,-2.80000,19.60000
16,-1.40000,19.60000
17,0.00000,19.60000
18,1.40000,19.60000
19,2.80000,19.60000
20,4.20000,19.60000
21,5.60000,19.60000
22,7.00000,19.60000
23,8.40000,19.60000
24,9.80000,19.60000
25,-12.60000,18.20000
26,-11.20000,18.20000
27,-9.80000,18.20000
28,-8.40000,18.20000
29,-7.00000,18.20000
30,-5.60000,18.20000
31,-4.20000,18.20000
32,-2.80000,18.20000
33,-1.40000,18.20000
34,0.00000,18.20000
35,1.40000,18.20000
36,2.80000,18.20000
37,4.20000,18.20000
38,5.60000,18.20000
39,7.00000,18.20000
40,8.40000,18.20000
41,9.80000,18.20000
42,11.20000,18.20000
43,12.60000,18.20000
44,-14.00000,16.80000
45,-12.60000,16.80000
46,-11.20000,16.80000
47,-9.80000,16.80000
48,-8.40000,16.80000
49,-7.00000,16.80000
50,-5.60000,16.80000
51,-4.20000,16.80000
52,-2.80000,16.80000
53,-1.40000,16.80000
54,0.00000,16.80000
55,1.40000,16.80000
56,2.80000,16.80000
57,4.20000,16.80000
58,5.60000,16.80000
59,7.00000,16.80000
60,8.40000,16.80000
61,9.80000,16.80000
62,11.20000,16.80000
63,12.60000,16.80000
64,14.00000,16.80000
65,-15.40000,15.40000
66,-14.00000,15.40000
67,-12.60000,15.40000
68,-11.20000,15.40000
69,-9.80000,15.40000
70,-8.40000,15.40000
71,-7.00000,15.40000
72,-5.60000,15.40000
73,-4.20000,15.40000
74,-2.80000,15.40000
75,-1.40000,15.40000
76,0.00000,15.40000
77,1.40000,15.40000
78,2.80000,15.40000
79,4.20000,15.40000
80,5.60000,15.40000
81,7.00000,15.40000
82,8.40000,15.40000
83,9.80000,15.40000
84,11.20000,15.40000
85,12.60000,15.40000
86,14.00000,15.40000
87,15.40000,15.40000
88,-16.80000,14.00000
89,-15.40000,14.00000
90,-14.00000,14.00000
91,-12.60000,14.00000
92,-11.20000,14.00000
93,-9.80000,14.00000
94,-8.40000,14.00000
95,-7.00000,14.00000
96,-5.60000,14.00000
97,-4.20000,14.00000
98,-2.80000,14.00000
99,-1.40000,14.00000
100,0.00000,14.00000
101,1.40000,14.00000
102,2.80000,14.00000
103,4.20000,14.00000
104,5.60000,14.00000
105,7.00000,14.00000
106,8.40000,14.00000
107,9.80000,14.00000
108,11.20000,14.00000
109,12.60000,14.00000
110,14.00000,14.00000
111,15.40000,14.00000
112,16.80000,14.00000
113,-18.20000,12.60000
114,-16.80000,12.60000
115,-15.40000,12.60000
116,-14.00000,12.60000
117,-12.60000,12.60000
118,-11.20000,12.60000
119,-9.80000,12.60000
120,-8.40000,12.60000
121,-7.00000,12.60000
122,-5.60000,12.60000
123,-4.20000,12.60000
124,-2.80000,12.60000
125,-1.40000,12.60000
126,0.00000,12.60000
127,1.40000,12.60000
